Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
TAMAN BUKIT PASIR,Batu Pahat,Johor,Freehold,Terrace House,300000,195,12
Taman Lembah Maju,Ampang,Selangor,Leasehold,Apartment,158000,195,11
TAMAN PUNCAK JELAPANG MAJU,Ipoh,Perak,Leasehold,"Terrace House, Semi D",290000,195,10
TAMAN NUSA SERI CENGAL 2 & 3,Nilai,Negeri Sembilan,Leasehold,Terrace House,359000,194,210
TAMAN ANJUNG SUNGAI PETAI,Sungei Petai,Melaka,Freehold,"Terrace House, Semi D",298800,194,140
TAMAN SAUJANA INDAH,Bukit Katil,Melaka,Freehold,"Terrace House, Semi D, Town House",315000,194,19
1 TANJUNG,Ipoh,Perak,Freehold,Terrace House,298880,194,12
"TAMAN SRI MAS, BIDOR",Bidor,Perak,Leasehold,Terrace House,300000,194,12
TAMAN MANIS,Batu Pahat,Johor,Freehold,"Semi D, Terrace House",220000,194,10
PRIMA @ SITIAWAN,Sitiawan,Perak,Freehold,Terrace House,270610,193,102
Flat Daisy,Masai,Johor,Leasehold,Flat,138000,193,16
TAMAN KARISMA IMPIAN,Sitiawan,Perak,Freehold,Terrace House,298800,193,15
TAMAN TANGGA BATU PERDANA,Tanjong Kling,Melaka,Leasehold,Terrace House,308000,193,14
TAMAN DESA ANGGERIK (PUTRA NILAI),Nilai,Negeri Sembilan,Freehold,Terrace House,345000,193,12
BANDAR BARU SUNGAI UDANG,Sungai Udang,Melaka,Leasehold,Terrace House,310000,193,12
TAMAN LAKE VIEW,Taiping,Perak,Freehold,"Terrace House, Semi D",405000,193,11
TAMAN SENGKANG,Pasir Panjang,Negeri Sembilan,Freehold,Terrace House,279000,192,72
TAMAN RAIA UTAMA,Gopeng,Perak,Freehold,Terrace House,268000,192,71
TAMAN KERSANI,Kuala Pilah,Negeri Sembilan,Freehold,Terrace House,298000,192,67
TAMAN CASSIA BAHAU,Bahau,Negeri Sembilan,Leasehold,Terrace House,249000,192,46
TAMAN BUKIT SENDAYAN,Bandar Sri Sendayan,Negeri Sembilan,Leasehold,Terrace House,250000,192,19
TAMAN TOPAZ @ SELANGORKU,Dengkil,Selangor,Freehold,Terrace House,250000,192,17
TAMAN DESA DAMAI,Bentong,Pahang,Freehold,Terrace House,240000,192,16
TAMAN LARAH AMAN,Taiping,Perak,Freehold,Terrace House,230000,192,14
TAMAN KINDING FLORA,Ipoh,Perak,Leasehold,Cluster House,252500,192,12
Apartment Seri Teluki,Hulu Selangor,Selangor,Freehold,Flat,150000,192,12
TAMAN BANDAR BARU SP (PKNK),Sungai Petani,Kedah,Freehold,Terrace House,200000,192,11
TAMAN DESA BUKIT PERMATA,Kapar,Selangor,Freehold,Terrace House,460000,191,21
TAMAN ZAMRUD,Parit Buntar,Perak,"Freehold, Leasehold",Terrace House,366075,191,20
TAMAN SRI PERDANA,Lahad Datu,Sabah,Leasehold,"Semi D, Terrace House",550000,191,15
TAMAN SRI WANGSA II,Batu Gajah,Perak,Leasehold,Terrace House,229400,191,14
BANDAR BARU TRONOH (TAMAN TRONOH BARU),Tronoh,Perak,Leasehold,Terrace House,263000,190,28
KUALA BESUT,Besut,Terengganu,Freehold,"Terrace House, Bungalow, Semi D",335000,190,21
TAMAN SONG CHOON,Ipoh,Perak,Leasehold,Terrace House,237500,190,12
"TAMAN PESONA, SUNGAI SEGAMAT",Segamat,Johor,Freehold,Terrace House,363500,190,11
TAMAN KLEBANG PUTRA,Chemor,Perak,Freehold,Terrace House,255000,190,11
ALAM PERDANA,Ijok,Selangor,Leasehold,Terrace House,310000,189,47
TAMAN SELASIH FASA 1,Kulim,Kedah,Freehold,Terrace House,275000,189,32
TAMAN SERI DAGANG 3,Tanjong Duabelas,Selangor,Leasehold,"Semi D, Terrace House",386500,189,18
TAMAN FLORA,Kuala Kedah,Kedah,Freehold,"Semi D, Terrace House",421925,189,16
PERUMAHAN PASDEC,Kuantan,Pahang,Leasehold,Terrace House,250000,189,14
MAJIDEE PARK,Johor Bahru,Johor,Freehold,"Bungalow, Semi D",935000,189,14
TAMAN DENAI HIJAU,Gerik,Perak,Freehold,Terrace House,265000,189,10
BANDAR SCIENTEX JASIN,Jasin,Melaka,Freehold,Terrace House,180000,188,301
BANDAR SUNGAI BUAYA,Serendah,Selangor,Leasehold,Terrace House,300000,188,60
Rifle Range,Ayer Itam,Penang,Leasehold,Flat,72000,188,37
TAMAN INTAN,Kluang,Johor,Freehold,Terrace House,220000,188,29
TAMAN NUSA PERINTIS I,Iskandar Puteri (Nusajaya),Johor,Freehold,"Terrace House, Bungalow",550000,188,13
TAMAN BAYU PELANGI,Sungai Lalang,Kedah,Freehold,"Semi D, Terrace House",269800,188,12
TAMAN SENDAYAN INDAH,Bandar Sri Sendayan,Negeri Sembilan,Freehold,Terrace House,271000,188,12
TAMAN DESA IDAMAN,Durian Tunggal,Melaka,Freehold,Terrace House,320000,188,11
TAMAN RASA UTAMA,Batang Kali,Selangor,Leasehold,Terrace House,250000,187,40
BANDAR BARU BIDOR,Bidor,Perak,Leasehold,Terrace House,268000,187,36
Taman Bunga Raya,Serendah,Selangor,Leasehold,Flat,130000,187,27
TAMAN LIMBONGAN PERMAI,Klebang,Melaka,Freehold,Terrace House,289000,187,20
PUNCAK BOUGAINVILLEA,Padang Rengas,Perak,Freehold,Terrace House,274440,187,14
TAMAN SERAI MERBAU,Bagan Serai,Perak,Freehold,"Semi D, Terrace House",317800,187,11
TAMAN MATANG MURNI (PL 13411 - 13412),Simpang,Perak,Freehold,Terrace House,288000,187,11
TAMAN DESA DUYUNG,Duyong,Melaka,"Leasehold, Freehold",Terrace House,245000,187,10
TAMAN BUNGA MAWAR,Kuching,Sarawak,Leasehold,Terrace House,245000,187,10
TAMAN BUNGA RAYA,Serendah,Selangor,Leasehold,Terrace House,200000,186,144
TAMAN KINDING AKASIA,Ipoh,Perak,Leasehold,Terrace House,260000,186,82
TAMAN BUKIT SEMPANG,Merlimau,Melaka,Freehold,Terrace House,311650,186,34
BANDAR MUTIARA,Sungai Petani,Kedah,Freehold,"Terrace House, Semi D",280000,186,25
Taman Seri Janggus,Bukit Mertajam,Penang,Freehold,Flat,120000,186,21
TAMAN DARULAMAN PERDANA,Sungai Petani,Kedah,Freehold,"Semi D, Terrace House",380000,186,13
RENDANG EXORA (PEC LOT 24818),Pekan,Pahang,Freehold,Terrace House,260000,186,11
TAMAN RIMBA (PEC LOT 1135),Mentakab,Pahang,Freehold,Terrace House,137000,186,11
TAMAN METRO PENGKALAN,Batu Gajah,Perak,Leasehold,Terrace House,260000,186,11
Taman Merak Jaya,Simpang Ampat,Penang,Freehold,Flat,100000,186,11
TAMAN NUSANTARA,Kuala Kedah,Kedah,Freehold,"Semi D, Terrace House",347500,186,10
TAMAN DESA BERTAM,Tanjong Minyak,Melaka,Freehold,"Semi D, Cluster House",453000,185,89
TAMAN SERI IPIL,Nibong Tebal,Penang,Freehold,"Semi D, Bungalow",520000,185,27
KAMPUNG MERDEKA - TR 105,Batu Pahat,Johor,Freehold,"Terrace House, Semi D",325000,185,14
TAMAN BERSATU (GELONG),Jitra,Kedah,Freehold,Terrace House,200000,185,12
Anggerik Apartment,Serendah,Selangor,Freehold,Apartment,130000,185,12
TAMAN RIMBA (PEC LOT 3021),Mentakab,Pahang,Freehold,Terrace House,308000,185,11
TAMAN ALAMANDA (KEDIAMAN),Bahau,Negeri Sembilan,Leasehold,Terrace House,239999,184,29
TAMAN TANGKAK JAYA - TR 381,Tangkak,Johor,Freehold,Terrace House,287500,184,20
TAMAN IMPIANA ADRIL,Lahat,Perak,Leasehold,Terrace House,250000,184,13
TAMAN INDAH (SUNGAI UDANG),Masjid Tanah,Melaka,Leasehold,Terrace House,300000,184,13
T'LAGENDA@PERAMU (P/L 23051),Pekan,Pahang,"Freehold, Leasehold",Terrace House,288000,184,12
TAMAN MH PERMATANG BADAK FASA 6 (P/L30398),Kuantan,Pahang,Freehold,"Terrace House, Semi D",289000,184,10
TAMAN SHOREA HARTAMAS,Pasir Panjang,Negeri Sembilan,Freehold,Terrace House,250000,183,82
P/L : 10139,Kuantan,Pahang,Freehold,Terrace House,350000,183,16
Taman Desa Rakyat Perdana,Pasir Gudang,Johor,Leasehold,Flat,130000,183,13
Taman Intan Baiduri,Batu Caves,Kuala Lumpur,Leasehold,Flat,130000,183,13
TAMAN SERI AMPANG,Ipoh,Perak,Leasehold,Terrace House,280000,183,11
TAMAN TUNKU,Miri,Sarawak,Leasehold,Terrace House,288000,182,59
TAMAN RASAH JAYA II,Rasah,Negeri Sembilan,Freehold,Terrace House,235000,182,22
TAMAN MERDEKA,Batu Berendam,Melaka,Leasehold,"Terrace House, Town House",326500,182,20
TAMAN SRI MAWAR I,Seremban,Negeri Sembilan,Freehold,Terrace House,250000,182,19
TAMAN TUNKU SARINA,Jitra,Kedah,Freehold,Terrace House,325000,182,15
TAMAN TEHEL IMPIAN (SAUJANA PERDANA),Bemban,Melaka,Freehold,Terrace House,291230,182,14
TAMAN RASAH JAYA V,Rasah,Negeri Sembilan,Freehold,Terrace House,300000,182,14
TAMAN KEMPAS FASA 1,Sungai Petani,Kedah,Freehold,Terrace House,237500,182,14
TAMAN RIA FASA 1,Padang Serai,Kedah,Freehold,Terrace House,262500,182,12
TAMAN KOPERASI MUHIBBAH,Kluang,Johor,Freehold,Terrace House,180000,182,12
TAMAN PENGKALAN SURIA,Ipoh,Perak,Leasehold,"Cluster House, Semi D",435240,182,11
TAMAN BUKIT RAMBAI (BARU),Bukit Rambai,Melaka,Freehold,"Terrace House, Semi D",280000,182,11
TAMAN DESA TANJUNG MINYAK (SERI BERTAM),Tanjong Minyak,Melaka,Leasehold,Terrace House,260000,181,39
BANDAR PUTERI JAYA SEKSYEN 2,Sungai Petani,Kedah,Freehold,Terrace House,275000,180,36
TAMAN RAJA MUDA MUSA II,Sitiawan,Perak,Freehold,Terrace House,288800,180,21
Cherry,Ipoh,Perak,Freehold,Apartment,137500,180,14
TAMAN DELIMA,Sitiawan,Perak,Freehold,Terrace House,368800,180,13
BANDAR AMANJAYA (ZON SEROJA),Sungai Petani,Kedah,Freehold,Terrace House,220000,180,12
TAMAN PUTRA INDAH,Ipoh,Perak,Freehold,Terrace House,240000,180,11
TAMAN SAUJANA HARMONI,Batu Gajah,Perak,Leasehold,Terrace House,288000,180,10
BANDAR SPRINGHILL,Jimah,Negeri Sembilan,Freehold,Terrace House,220000,179,86
TAMAN SERI MAHKOTA,Sitiawan,Perak,Freehold,Terrace House,250000,179,82
TAMAN AIR MANIS,Sabak Bernam,Selangor,Leasehold,"Cluster House, Terrace House",250000,179,50
TAMAN SRI RAMBAI,Bukit Mertajam,Penang,Freehold,"Terrace House, Semi D",400000,179,31
TAMAN SOON HUP(JALAN PERMAI),Sibu,Sarawak,Leasehold,Terrace House,377500,179,28
TAMAN DESA PUTERI,Bahau,Negeri Sembilan,Freehold,Terrace House,300000,179,22
PRIMA SP BAIDURI (SP 1),Sungai Petani,Kedah,Freehold,Terrace House,270000,179,18
TAMAN KUALA LIPIS,Kuala Lipis,Pahang,Freehold,Terrace House,275000,179,17
TAMAN DELIMA II,Kluang,Johor,Freehold,"Terrace House, Semi D",314000,179,14
TAMAN PELANGI [SIKAMAT],Sikamat,Negeri Sembilan,Freehold,Terrace House,240000,179,13
MEDAN LAHAT BARU,Lahat,Perak,Leasehold,Terrace House,288800,179,13
Valencia Apartment,Shah Alam,Selangor,Leasehold,Apartment,170000,179,13
TAMAN SEKIAH MAKMUR,Ulu Bernam,Perak,Leasehold,Terrace House,260000,179,11
TAMAN PUTERI,Kuching,Sarawak,Leasehold,Terrace House,400000,179,11
TAMAN JELITA BLOK 30,Miri,Sarawak,Leasehold,Terrace House,180000,179,11
TAMAN INDAH JAYA,Kluang,Johor,Freehold,Terrace House,240000,179,10
TAMAN WANGSA PERMAI (P/L 13367),Lumut,Perak,Freehold,Semi D,498800,178,14
"TAMAN LEKIR DAMAI, KAMPUNG KOH",Sitiawan,Perak,Freehold,Terrace House,279400,178,12
BANDAR SRI ASTANA,Sungai Petani,Kedah,Freehold,Terrace House,260000,177,70
TAMAN POLITEKNIK,Telok Kemang,Negeri Sembilan,Freehold,Terrace House,230000,177,53
BUKIT ANAK DARA,Kijal,Terengganu,Freehold,Terrace House,274850,177,30
TAMAN SRI WANG,Sungai Petani,Kedah,Freehold,Terrace House,200000,177,17
Tanjong Puteri Apartment,Pasir Gudang,Johor,Freehold,Apartment,170000,177,16
TAMAN TIRAM,Kulim,Kedah,Freehold,"Semi D, Terrace House",280000,177,13
Taman Semarak II,Nilai,Negeri Sembilan,Freehold,Flat,120000,177,13
TAMAN KURAU MURNI (BATU KURAU),Batu Kurau,Perak,Freehold,"Cluster House, Terrace House",318800,177,11
TAMAN BERCHAM RAYA,Tambun,Perak,Leasehold,Terrace House,194000,177,10
TAMAN DESARIA,Nilai,Negeri Sembilan,Freehold,Terrace House,310000,177,10
TAMAN KELADI FASA 2,Sungai Petani,Kedah,Freehold,Terrace House,215000,176,28
TAMAN AMAN 3,Lahad Datu,Sabah,Leasehold,Terrace House,375000,176,14
TAMAN TASIK UTAMA,Bukit Katil,Melaka,Leasehold,Terrace House,270000,175,123
TAMAN HARMONIS FASA 2,Seri Iskandar,Perak,Leasehold,"Terrace House, Cluster House",240000,175,64
BANDAR UNIVERSITI,Seri Iskandar,Perak,Leasehold,"Terrace House, Semi D",250000,175,43
TAMAN DESA ILMU,Kota Samarahan,Sarawak,Leasehold,"Terrace House, Semi D",380000,175,36
TAMAN LINTANG BISTARI,Sungai Siput,Perak,Leasehold,Terrace House,267284,175,35
TAMAN TIANG DUA BESTARI,Ayer Molek,Melaka,Freehold,"Cluster House, Terrace House",269100,175,34
BANDAR PERDANA (TERES),Sungai Petani,Kedah,Freehold,Terrace House,271000,175,34
TAMAN BIDORIA RESIDENSI,Bidor,Perak,Leasehold,Terrace House,245000,175,28
TAMAN TERENDAK PERMAI,Sungai Udang,Melaka,Freehold,Terrace House,270000,175,15
PLUMERIA @ BANDAR UNIVERSITI,Seri Iskandar,Perak,Leasehold,Terrace House,250000,175,14
TAMAN SUNGAI UDANG MUTIARA,Sungai Udang,Melaka,Freehold,Terrace House,290000,175,14
TAMAN ARMANI SUNGAI PANDAN 2 (PL8492),Kuantan,Pahang,Freehold,Terrace House,266500,175,10
P/L 104445 & P/L 104476(LOT 2507),Kuantan,Pahang,Freehold,Terrace House,271790,174,38
TAMAN DURANDA EMAS,Kuching,Sarawak,Leasehold,Terrace House,180000,174,32
TAMAN PERTAMA,Ipoh,Perak,Leasehold,"Semi D, Terrace House",280000,174,31
TAMAN SERI PAYA RUMPUT,Sungei Baru Tengah,Melaka,Freehold,Terrace House,260000,174,10
ULU SUNGAI MERAH,Sibu,Sarawak,Leasehold,Terrace House,430000,173,31
TAMAN INDAH SATELIT,Tampin,Negeri Sembilan,Freehold,Terrace House,285000,173,27
TAMAN BUKIT RANGIN PERDANA 1 & 2,Kuantan,Pahang,Leasehold,Terrace House,225000,173,24
Pangsapuri Nusa Indah,Bukit Mertajam,Penang,Freehold,Apartment,130000,173,17
TAMAN IMPIAN PUTRA,Port Dickson,Negeri Sembilan,Leasehold,"Terrace House, Semi D",375000,173,11
TAMAN KASA HEIGHTS,Alor Gajah,Melaka,Freehold,"Cluster House, Town House, Terrace House",205000,173,10
TAMAN KOTA SARANG SEMUT,Kota Sarang Semut,Kedah,Freehold,Terrace House,225000,173,10
TAMAN ANGSAMAS,Rasah,Negeri Sembilan,Freehold,Terrace House,205000,172,26
MEDAN KLEBANG RESTU,Chemor,Perak,Freehold,Terrace House,235000,172,18
TAMAN MUZAFFAR SHAH,Bukit Katil,Melaka,Leasehold,"Terrace House, Semi D",280000,172,16
TAMAN SENAWANG PERDANA,Rantau,Negeri Sembilan,Freehold,Bungalow,715000,172,15
BANDAR PERMATA LUNAS,Lunas,Kedah,Freehold,"Semi D, Terrace House",412500,172,14
TAMAN SRI PULASAN,Seremban,Negeri Sembilan,Leasehold,Terrace House,215000,172,14
TAMAN CANNING,Ipoh,Perak,"Freehold, Leasehold","Terrace House, Semi D, Bungalow",425000,171,39
TAMAN PINJI MEWAH,Ipoh,Perak,Leasehold,"Semi D, Terrace House",285000,171,21
TAMAN RIANG DIAWAN,Kampar,Perak,Leasehold,Terrace House,239800,171,11
Pangsapuri Baiduri,Beranang,Selangor,Freehold,Flat,119000,170,18
BANDAR SRI INDAH,Tawau,Sabah,Leasehold,Terrace House,385000,169,34
Taman Mutiara,Labuan,Labuan,Leasehold,Flat,130000,169,25
TAMAN SERAI PERDANA,Bagan Serai,Perak,Freehold,"Terrace House, Semi D",263800,169,19
TAMAN SRI JAYA 1 & 2,Kluang,Johor,Freehold,Terrace House,250000,169,15
GEBENG RESIDENCE (P/L PT 25173),Sungai Karang,Pahang,Leasehold,Terrace House,238000,169,12
BUNGA RAYA,Bukit Baru,Melaka,"Freehold, Leasehold",Terrace House,300000,169,11
MAHKOTA IMPIAN (P/L 164414),Kuantan,Pahang,Freehold,Terrace House,314500,169,10
TAMAN LAGENDA AMAN,Tapah,Perak,Leasehold,Terrace House,219300,168,363
TAMAN SAMARINDAH,Kota Samarahan,Sarawak,"Freehold, Leasehold",Terrace House,300000,168,59
Taman Pelangi,Perai,Penang,Leasehold,Flat,100000,168,29
BANDAR AMANJAYA (ZON MAWAR),Sungai Petani,Kedah,Freehold,"Terrace House, Bungalow",240000,168,27
"ELEMEN @ 18, PENGKALAN",Ipoh,Perak,Leasehold,Cluster House,428000,168,24
TAMAN TUNKU MAHERAN,Jitra,Kedah,Freehold,Terrace House,255000,168,16
TAMAN PENGKALAN PRISMA,Batu Gajah,Perak,Leasehold,Terrace House,290000,168,11
TAMAN AMALINA LESTARI,Raub,Pahang,Leasehold,Terrace House,200000,168,11
TAMAN KLEBANG JAYA,Chemor,Perak,Leasehold,Terrace House,200000,167,23
TAMAN GOPENG MEWAH,Gopeng,Perak,Leasehold,Terrace House,277235,167,22
TAMAN BATU PAHAT,Batu Pahat,Johor,Freehold,"Terrace House, Semi D",300000,167,16
Taman Mengkudu,Bukit Minyak,Penang,Freehold,Flat,100000,167,14
TAMAN BUKIT RANGIN 3,Kuantan,Pahang,Leasehold,Terrace House,210000,167,13
TAMAN DESA,Kluang,Johor,Freehold,"Terrace House, Semi D",215000,167,12
TAMAN SRI LALANG,Kota Tinggi,Johor,Freehold,Terrace House,340000,167,11
BANDAR AMANJAYA (ZON ANGGERIK),Sungai Petani,Kedah,Freehold,"Semi D, Terrace House",215000,166,63
TAMAN SAGA,Kulim,Kedah,Freehold,"Terrace House, Semi D",269500,166,21
"TAMAN PELANGI INDAH, SITIAWAN",Sitiawan,Perak,Freehold,Semi D,480000,166,21
TAMAN BEMBAN SETIA,Batu Gajah,Perak,Leasehold,Terrace House,240000,166,13
DESA SEJIJAK,Kuching,Sarawak,Leasehold,Terrace House,176050,166,12
Pangsapuri Seri Inai,Serendah,Selangor,Freehold,Flat,132500,166,12
BANDAR AMANJAYA (KEMBOJA),Sungai Petani,Kedah,Freehold,Terrace House,230000,165,54
Taman Desa Cheras,Cheras,Kuala Lumpur,Freehold,Flat,110000,165,11
TAMAN KUANTAN JAYA,Kuantan,Pahang,Leasehold,Terrace House,285000,165,10
TAMAN PAYA RUMPUT INDAH,Paya Rumput,Melaka,Leasehold,"Semi D, Terrace House",235000,165,10
BANDAR UTAMA,Sungai Petani,Kedah,Freehold,"Terrace House, Bungalow",262500,164,34
TAMAN RAMBAI IDAMAN,Bukit Rambai,Melaka,"Freehold, Leasehold",Terrace House,295000,164,32
TAMAN SERI BAYU,Sungai Petani,Kedah,Freehold,Terrace House,200000,164,20
TAMAN MAYANG LESTARI,Jasin,Melaka,Leasehold,"Cluster House, Terrace House",285000,164,15
MEDAN BEMBAN MESRA,Batu Gajah,Perak,Leasehold,Terrace House,230000,164,10
ATABARA RESIDENCE FASA 8 (PL 76003),Kuantan,Pahang,Freehold,Terrace House,325000,163,19
Taman Suria Jaya,Kuching,Sarawak,Leasehold,Flat,105000,163,15
TAMAN TAN SRI FUZI,Seri Iskandar,Perak,Freehold,Terrace House,228000,163,13
Venice Hill,Cheras,Selangor,Freehold,Condominium,250000,162,39
TAMAN IMPIANA BIDOR,Bidor,Perak,"Freehold, Leasehold",Terrace House,248960,162,26
BANDAR PUTERI HILLPARK,Sungai Petani,Kedah,Freehold,Terrace House,300000,162,26
SEKSYEN 18,Petaling Jaya,Selangor,"Leasehold, Freehold","Terrace House, Bungalow",695000,162,11
TAMAN SERI BINTANG,Tampin,Negeri Sembilan,Freehold,Terrace House,249998,161,13
TAMAN SUNGAI SERDANG JAYA,Kapar,Selangor,Freehold,Semi D,504850,161,10
TAMAN REM,Kota Tinggi,Johor,Leasehold,Terrace House,246600,160,89
TAMAN SRI LAYANG,Mentakab,Pahang,Freehold,Terrace House,170000,160,22
TUNAS MAHKOTA,Kuantan,Pahang,"Freehold, Leasehold",Terrace House,195000,160,21
TAMAN MANTIN PUTRA,Mantin,Negeri Sembilan,Freehold,"Semi D, Terrace House",550000,160,17
TAMAN KOTA YONG PENG,Yong Peng,Johor,Freehold,Terrace House,240000,160,14
TAMAN BUKIT EMAS,Sungei Petai,Melaka,Freehold,Terrace House,252500,160,12
TAMAN PUTERI,Padang Serai,Kedah,Freehold,Terrace House,204000,159,72
BANDAR BARU PUTRA,Ipoh,Perak,"Freehold, Leasehold",Terrace House,212500,159,26
TAMAN KAMPAR PUTRA,Kampar,Perak,Leasehold,Terrace House,259000,159,22
TAMAN AIR KEROH FASA 1-3,Bukit Katil,Melaka,Leasehold,Terrace House,220000,159,17
TAMAN SRI GEDONG,Sungai Petani,Kedah,Freehold,Terrace House,232500,159,16
TAMAN BUKIT SENAWANG PERDANA (PHASE 2),Rantau,Negeri Sembilan,Freehold,Semi D,605000,159,14
TAMAN GUNUNG MAS,Tampin,Negeri Sembilan,Freehold,Terrace House,200000,159,11
BANDAR BARU KUANTAN PUTRI,Kuantan,Pahang,Leasehold,Terrace House,202500,159,10
TAS,Kuantan,Pahang,Freehold,Terrace House,185000,158,43
TAMAN RIA JAYA FASA 3,Sungai Petani,Kedah,Freehold,Terrace House,250000,158,35
TAMAN JUASSEH SENTOSA FASA 2,Juasseh,Negeri Sembilan,Freehold,Terrace House,249800,158,29
TAMAN PAYA RUMPUT PERDANA,Paya Rumput,Melaka,Freehold,"Bungalow, Town House",627500,158,28
INDERA SEMPURNA,Kuantan,Pahang,Leasehold,"Semi D, Terrace House",220000,158,15
TAMAN JENGKA SEJAHTERA (PT 29246),Chenor,Pahang,Leasehold,Terrace House,243750,158,11
TAMAN SERI DUYONG,Duyong,Melaka,Leasehold,Terrace House,268000,157,32
TAMAN PERDA INDAH,Tasek Gelugor,Penang,Freehold,Terrace House,343800,157,29
RAZAKI,Ipoh,Perak,Leasehold,"Terrace House, Semi D",255000,157,21
PINGGIRAN PUTRA 4 (PL 3178),Kuantan,Pahang,Freehold,Terrace House,335000,157,15
TAMAN SAGA INDAH,Mentakab,Pahang,Leasehold,Terrace House,219000,157,15
TAMAN TASIK PERDANA,Pengkalan Hulu,Perak,Leasehold,Terrace House,188000,157,14
CHEMOR KAYANGAN,Ipoh,Perak,Leasehold,Terrace House,228000,156,62
BANDAR BARU SEGARI,Lumut,Perak,Leasehold,Cluster House,328000,156,16
TAMAN BUKIT TEMBAKAU,Umbai,Melaka,Freehold,"Terrace House, Semi D",260000,156,13
PERKAMPUNGAN SRI MAHKOTA AMAN,Kuantan,Pahang,Freehold,Terrace House,250000,156,13
TAMAN SEROJA,Sepang,Selangor,Leasehold,Terrace House,400000,156,11
BANDAR SEJAHTERA FASA 3,Pokok Sena,Kedah,Freehold,"Cluster House, Terrace House",408900,156,10
TAMAN RIA JAYA FASA 1,Sungai Petani,Kedah,Freehold,Terrace House,210000,155,35
TAMAN BAHAU,Bahau,Negeri Sembilan,Freehold,Terrace House,183000,155,19
TAMAN SRI UNAS 2,Muar,Johor,Freehold,"Bungalow, Semi D",394000,155,17
Kota Laksamana Utama,Melaka City,Melaka,Leasehold,Apartment,126000,155,14
TAMAN SERI BAYU 2,Sungai Petani,Kedah,Freehold,Terrace House,175000,155,11
TAMAN PERMAI UTAMA,Gurun,Kedah,Freehold,"Semi D, Terrace House",220000,154,19
TAMAN SUNGAI RAMBAI DAMAI,Sungai Rambai,Melaka,Leasehold,Terrace House,304200,154,18
TAMAN INTAN PERDANA,Telok Kemang,Negeri Sembilan,"Freehold, Leasehold",Terrace House,220000,154,18
TAMAN BEMBAN RAYA,Batu Gajah,Perak,Leasehold,Terrace House,238000,154,18
TAMAN MERBAU INDAH,Triang,Pahang,Freehold,Terrace House,200000,154,15
TAMAN KELISA RIA FASA 1,Sungai Petani,Kedah,Freehold,"Terrace House, Semi D",250000,153,35
KAMPUNG PADANG 1,Kuantan,Pahang,Leasehold,Terrace House,170000,153,21
TAMAN JASMIN [SENAWANG],Senawang,Negeri Sembilan,Leasehold,"Town House, Terrace House",150000,153,17
TAMAN PERMAI BIDOR,Bidor,Perak,Leasehold,"Cluster House, Terrace House, Semi D",364000,153,14
TAMAN DELIMA,Kluang,Johor,Freehold,"Bungalow, Terrace House, Semi D",360000,153,12
TAMAN RIA,Sungai Petani,Kedah,Freehold,Terrace House,220000,152,59
TAMAN KELADI FASA 1,Sungai Petani,Kedah,Freehold,Terrace House,200000,152,37
TAMAN KHAZANAH INDAH,Lahad Datu,Sabah,Leasehold,Terrace House,250000,152,12
TAMAN CAHAYA KRISTAL II,Bandar Baharu,Kedah,Freehold,Semi D,438488,152,10
GREENWOOD PARK,Kota Samarahan,Sarawak,Leasehold,"Terrace House, Semi D",341500,152,10
TAMAN BANDAR BARU SUNGAI LALANG,Sungai Petani,Kedah,Freehold,Terrace House,200000,151,41
MATANG JAYA,Kuching,Sarawak,Leasehold,"Semi D, Terrace House, Bungalow",350000,151,36
TAMAN BUKIT KAYA,Bukit Kepayang,Negeri Sembilan,Freehold,Terrace House,300000,151,12
TAMAN BATU GAJAH PERDANA,Batu Gajah,Perak,Leasehold,Terrace House,275000,151,11
BANDAR JASIN BISTARI,Bemban,Melaka,Leasehold,Terrace House,230435,150,56
SRI INDERAPURA,Kuantan,Pahang,Leasehold,"Terrace House, Semi D",192500,150,24
TAMAN PONTIAN PERDANA,Pontian,Johor,Freehold,Bungalow,541600,150,22
TAMAN LEMBAH MERBOK,Merbok,Kedah,Freehold,Terrace House,210000,150,17
TAMAN INTAN DUYUNG,Port Dickson,Negeri Sembilan,Leasehold,Terrace House,220000,150,15
TAMAN TASIK SEMENYIH,Semenyih,Selangor,Leasehold,Terrace House,465000,150,15
TAMAN PERMAIPURA,Sungai Lalang,Kedah,Freehold,"Terrace House, Bungalow",240000,150,14
LAKEVIEW RESIDENCE,Bidor,Perak,Leasehold,Cluster House,398700,150,13
TAMAN SINAR MENTARI,Bedong,Kedah,Freehold,Terrace House,235000,149,12
TAMAN GAMELAN,Kuala Kedah,Kedah,Freehold,"Semi D, Terrace House",350260,148,11
TAMAN LEMBAH PERMAI,Sungai Lalang,Kedah,Freehold,Terrace House,230000,147,17
Taman Saujana Puchong,Puchong,Selangor,Leasehold,Flat,105000,147,13
"TAMAN OSCAR, SUNGAI BESAR",Sungai Besar,Selangor,Leasehold,Terrace House,343440,147,10
TAMAN PADANG TEMU PERMATA,Melaka City,Melaka,Freehold,"Terrace House, Semi D",250000,147,10
TAMAN SERI ROTAN,Kuala Kedah,Kedah,Freehold,Semi D,379505,147,10
TAMAN MUHIBAH FASA 16,Merlimau,Melaka,Freehold,Cluster House,398800,147,10
TAMAN RIA JAYA FASA 2,Sungai Petani,Kedah,Freehold,Terrace House,197500,146,48
